username,repo_name,stars,repo_url
public-apis,public-apis,189000,https://github.com/public-apis/public-apis
neovim,neovim,52300,https://github.com/neovim/neovim
strapi,strapi,44300,https://github.com/strapi/strapi
tiangolo,fastapi,43900,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,42100,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33900,https://github.com/slatedocs/slate
hasura,graphql-engine,26400,https://github.com/hasura/graphql-engine
ccxt,ccxt,24000,https://github.com/ccxt/ccxt
YMFE,yapi,23900,https://github.com/YMFE/yapi
Binaryify,NeteaseCloudMusicApi,23500,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,23200,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22100,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
Kong,insomnia,20500,https://github.com/Kong/insomnia
FallibleInc,security-guide-for-developers,20100,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19000,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17200,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17100,https://github.com/shieldfy/API-Security-Checklist
directus,directus,14900,https://github.com/directus/directus
ChainSafe,web3.js,14300,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,13800,https://github.com/learn-anything/learn-anything
youfou,wxpy,13200,https://github.com/youfou/wxpy
jsdoc,jsdoc,12800,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12500,https://github.com/BrainJS/brain.js
fangzesheng,free-api,12100,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11800,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11200,https://github.com/graphile/postgraphile
go-chi,chi,11200,https://github.com/go-chi/chi
postmanlabs,httpbin,10700,https://github.com/postmanlabs/httpbin
star7th,showdoc,10400,https://github.com/star7th/showdoc
