username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10300,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10300,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,9600,https://github.com/bitwarden/server
nopSolutions,nopCommerce,7100,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6200,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5100,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4900,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2400,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2200,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,2000,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1700,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com/MarimerLLC/csla
riganti,dotvvm,602,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,596,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,549,https://github.com/json-api-dotnet/JsonApiDotNetCore
antonioCoco,SharPyShell,545,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,454,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,438,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,427,https://github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,389,https://github.com/IvanJosipovic/BlazorTable
Maarten88,rrod,378,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,374,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,361,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,343,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,324,https://github.com/EEParker/aspnetcore-vueclimiddleware
smartstore,Smartstore,303,https://github.com/smartstore/Smartstore
ALMMa,datatables.aspnet,282,https://github.com/ALMMa/datatables.aspnet
