username,repo_name,stars,repo_url
serverless,serverless,42500,https://github.com/serverless/serverless
localstack,localstack,39600,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22900,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,22100,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12600,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12200,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12100,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,12000,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10200,https://github.com/donnemartin/awesome-aws
mozilla,sops,9500,https://github.com/mozilla/sops
apereo,cas,9400,https://github.com/apereo/cas
aws,chalice,8800,https://github.com/aws/chalice
aws-amplify,amplify-js,8700,https://github.com/aws-amplify/amplify-js
apex,up,8500,https://github.com/apex/up
aws,aws-cdk,8500,https://github.com/aws/aws-cdk
aws,serverless-application-model,8500,https://github.com/aws/serverless-application-model
caprover,caprover,8400,https://github.com/caprover/caprover
google,go-cloud,8300,https://github.com/google/go-cloud
angristan,openvpn-install,7900,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7600,https://github.com/aws/aws-sdk-go
boto,boto3,7200,https://github.com/boto/boto3
GoogleCloudPlatform,terraformer,7200,https://github.com/GoogleCloudPlatform/terraformer
hashicorp,terraform-provider-aws,7100,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sdk-js,7000,https://github.com/aws/aws-sdk-js
aws,amazon-sagemaker-examples,6800,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6500,https://github.com/awslabs/aws-shell
infracost,infracost,6300,https://github.com/infracost/infracost
99designs,aws-vault,6100,https://github.com/99designs/aws-vault
gruntwork-io,terratest,6000,https://github.com/gruntwork-io/terratest
aws,aws-sam-cli,5900,https://github.com/aws/aws-sam-cli
