username,repo_name,stars,repo_url
amphp,amp,3600,https://github.com/amphp/amp
danog,MadelineProto,1900,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,698,https://github.com/unreal4u/telegram-api
amphp,http-client,602,https://github.com/amphp/http-client
amphp,parallel,575,https://github.com/amphp/parallel
php-service-bus,service-bus,316,https://github.com/php-service-bus/service-bus
amphp,byte-stream,282,https://github.com/amphp/byte-stream
amphp,mysql,272,https://github.com/amphp/mysql
amphp,parallel-functions,221,https://github.com/amphp/parallel-functions
amphp,process,167,https://github.com/amphp/process
amphp,socket,157,https://github.com/amphp/socket
amphp,redis,123,https://github.com/amphp/redis
amphp,dns,112,https://github.com/amphp/dns
kelunik,acme,107,https://github.com/kelunik/acme
amphp,sync,102,https://github.com/amphp/sync
amphp,websocket-client,101,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,76,https://github.com/amphp/websocket-server
amphp,file,72,https://github.com/amphp/file
jolicode,asynit,69,https://github.com/jolicode/asynit
amphp,cache,69,https://github.com/amphp/cache
amphp,postgres,64,https://github.com/amphp/postgres
amphp,serialization,67,https://github.com/amphp/serialization
amphp,windows-registry,63,https://github.com/amphp/windows-registry
amphp,hpack,62,https://github.com/amphp/hpack
amphp,beanstalk,57,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,43,https://github.com/amphp/aerys
amphp,cluster,41,https://github.com/amphp/cluster
