username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,90700,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,80700,https://github.com/angular/angular
storybookjs,storybook,70100,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,48300,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,46700,https://github.com/ionic-team/ionic-framework
prettier,prettier,42400,https://github.com/prettier/prettier
SheetJS,sheetjs,29800,https://github.com/SheetJS/sheetjs
angular,angular-cli,25300,https://github.com/angular/angular-cli
angular,components,22600,https://github.com/angular/components
NativeScript,NativeScript,21100,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19400,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,17200,https://github.com/pubkey/rxdb
handsontable,handsontable,16500,https://github.com/handsontable/handsontable
goldbergyoni,javascript-testing-best-practices,16300,https://github.com/goldbergyoni/javascript-testing-best-practices
teambit,bit,15000,https://github.com/teambit/bit
sweetalert2,sweetalert2,14400,https://github.com/sweetalert2/sweetalert2
linnovate,mean,12100,https://github.com/linnovate/mean
nrwl,nx,11900,https://github.com/nrwl/nx
codesandbox,codesandbox-client,11400,https://github.com/codesandbox/codesandbox-client
Chocobozzz,PeerTube,10500,https://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
sudheerj,javascript-interview-questions,9200,https://github.com/sudheerj/javascript-interview-questions
angular,protractor,8800,https://github.com/angular/protractor
dotansimha,graphql-code-generator,8600,https://github.com/dotansimha/graphql-code-generator
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8300,https://github.com/PatrickJS/awesome-angular
jasontaylordev,CleanArchitecture,8300,https://github.com/jasontaylordev/CleanArchitecture
ag-grid,ag-grid,8200,https://github.com/ag-grid/ag-grid
text-mask,text-mask,8100,https://github.com/text-mask/text-mask
NG-ZORRO,ng-zorro-antd,8100,https://github.com/NG-ZORRO/ng-zorro-antd
