username,repo_name,stars,repo_url
ansible,ansible,52800,https://github.com/ansible/ansible
trailofbits,algo,25300,https://github.com/trailofbits/algo
StreisandEffect,streisand,22800,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,22100,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,12100,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10900,https://github.com/ansible/awx
easzlab,kubeasz,8000,https://github.com/easzlab/kubeasz
MichaelCade,90DaysOfDevOps,7600,https://github.com/MichaelCade/90DaysOfDevOps
geerlingguy,ansible-for-devops,5600,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5600,https://github.com/khuedoan/homelab
curlconverter,curlconverter,5400,https://github.com/curlconverter/curlconverter
ansible-semaphore,semaphore,4800,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4500,https://github.com/rundeck/rundeck
Tikam02,DevOps-Guide,4600,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4500,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,4200,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3500,https://github.com/clong/DetectionLab
ansible-community,molecule,3300,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3100,https://github.com/opendevops-cn/opendevops
werf,werf,3100,https://github.com/werf/werf
netbootxyz,netboot.xyz,3000,https://github.com/netbootxyz/netboot.xyz
welliamcao,OpsManage,2900,https://github.com/welliamcao/OpsManage
ansible,ansible-lint,2800,https://github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2700,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2600,https://github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2600,https://github.com/litmuschaos/litmus
roots,trellis,2300,https://github.com/roots/trellis
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2100,https://github.com/fboender/ansible-cmdb
