username,repo_name,stars,repo_url
arendst,Tasmota,17400,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,12900,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,12700,https://github.com/arduino/Arduino
rwaldron,johnny-five,12600,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,9800,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9700,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8400,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7700,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7500,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5800,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5600,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5100,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3600,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3400,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3400,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3200,https://github.com/NectarJS/nectarjs
olikraus,u8g2,3000,https://github.com/olikraus/u8g2
gioblu,PJON,2700,https://github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2500,https://github.com/1technophile/OpenMQTTGateway
Serial-Studio,Serial-Studio,2400,https://github.com/Serial-Studio/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2300,https://github.com/scottlawsonbc/audio-reactive-led-strip
scottbez1,splitflap,2200,https://github.com/scottbez1/splitflap
isl-org,OpenBot,2100,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2100,https://github.com/crankyoldgit/IRremoteESP8266
nRF24,RF24,1900,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1800,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1800,https://github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1800,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,https://github.com/ThingPulse/esp8266-oled-ssd1306
