username,repo_name,stars,repo_url
sindresorhus,awesome,197000,https://github.com/sindresorhus/awesome
vinta,awesome-python,123000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,84500,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,78600,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,64900,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,56100,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,53900,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,50400,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,48800,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,45800,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,44300,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42400,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,40100,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39800,https://github.com/prakhar1989/awesome-courses
MunGell,awesome-for-beginners,39500,https://github.com/MunGell/awesome-for-beginners
vsouza,awesome-ios,39300,https://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,38200,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,36700,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,34100,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33500,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31800,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,30000,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29900,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29500,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26400,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25700,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,25200,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,24100,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23300,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22600,https://github.com/sindresorhus/awesome-electron
