username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,105000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,56900,https://github.com/nvm-sh/nvm
junegunn,fzf,43500,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,30800,https://github.com/dylanaraps/pure-bash-bible
google,zx,30400,https://github.com/google/zx
koalaman,shellcheck,28400,https://github.com/koalaman/shellcheck
LeCoupa,awesome-cheatsheets,27900,https://github.com/LeCoupa/awesome-cheatsheets
mathiasbynens,dotfiles,27600,https://github.com/mathiasbynens/dotfiles
acmesh-official,acme.sh,26100,https://github.com/acmesh-official/acme.sh
starship,starship,24500,https://github.com/starship/starship
alebcay,awesome-shell,23300,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,18400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,15300,https://github.com/withfig/autocomplete
Nyr,openvpn-install,14900,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14800,https://github.com/dylanaraps/neofetch
rbenv,rbenv,14100,https://github.com/rbenv/rbenv
powerline,powerline,13200,https://github.com/powerline/powerline
shelljs,shelljs,13100,https://github.com/shelljs/shelljs
Bash-it,bash-it,12900,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12500,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12500,https://github.com/jessfraz/dockerfiles
denisidoro,navi,10900,https://github.com/denisidoro/navi
codota,TabNine,9100,https://github.com/codota/TabNine
rgcr,m-cli,8800,https://github.com/rgcr/m-cli
direnv,direnv,8800,https://github.com/direnv/direnv
alexanderepstein,Bash-Snippets,8700,https://github.com/alexanderepstein/Bash-Snippets
skywind3000,awesome-cheatsheets,8600,https://github.com/skywind3000/awesome-cheatsheets
kanaka,mal,8500,https://github.com/kanaka/mal
carlospolop,PEASS-ng,8300,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7900,https://github.com/angristan/openvpn-install
