username,repo_name,stars,repo_url
bitcoin,bitcoin,63300,https://github.com/bitcoin/bitcoin
ccxt,ccxt,24000,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17400,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,17000,https://github.com/freqtrade/freqtrade
askmike,gekko,9900,https://github.com/askmike/gekko
bbfamily,abu,8900,https://github.com/bbfamily/abu
solana-labs,solana,7900,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6800,https://github.com/dvf/blockchain
yeasy,blockchain_guide,6000,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5900,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5600,https://github.com/spesmilo/electrum
butor,blackbird,5500,https://github.com/butor/blackbird
btcsuite,btcd,4700,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4600,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4300,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3900,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3900,https://github.com/CryptoSignal/Crypto-Signal
jesse-ai,jesse,3700,https://github.com/jesse-ai/jesse
michaelgrosner,tribeca,3700,https://github.com/michaelgrosner/tribeca
coinpride,CryptoList,3700,https://github.com/coinpride/CryptoList
Scanate,EthList,3600,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3600,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3500,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3500,https://github.com/bitpay/wallet
btcpayserver,btcpayserver,3400,https://github.com/btcpayserver/btcpayserver
Jeiwan,blockchain_go,3300,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3300,https://github.com/SqueezerIO/squeezer
cointop-sh,cointop,3100,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2800,https://github.com/bitcoin-wallet/bitcoin-wallet
