username,repo_name,stars,repo_url
ccxt,ccxt,24000,https://github.com/ccxt/ccxt
discordjs,discord.js,18900,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,18200,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16100,https://github.com/hubotio/hubot
InstaPy,InstaPy,14000,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,13800,https://github.com/RasaHQ/rasa
wechaty,wechaty,12400,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12100,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10700,https://github.com/howdyai/botkit
tgbot-collection,YYeTsBot,10400,https://github.com/tgbot-collection/YYeTsBot
botpress,botpress,9600,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8900,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,8600,https://github.com/leon-ai/leon
microsoft,ailab,7000,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6800,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6100,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,6100,https://github.com/yagop/node-telegram-bot-api
pedroslopez,whatsapp-web.js,6000,https://github.com/pedroslopez/whatsapp-web.js
deepmipt,DeepPavlov,5700,https://github.com/deepmipt/DeepPavlov
botman,botman,5600,https://github.com/botman/botman
telegraf,telegraf,5500,https://github.com/telegraf/telegraf
axa-group,nlp.js,4900,https://github.com/axa-group/nlp.js
jef,streetmerchant,4800,https://github.com/jef/streetmerchant
Mrs4s,go-cqhttp,4400,https://github.com/Mrs4s/go-cqhttp
ohld,igbot,4200,https://github.com/ohld/igbot
Yoctol,bottender,3900,https://github.com/Yoctol/bottender
BotsAppOfficial,BotsApp,3900,https://github.com/BotsAppOfficial/BotsApp
chrisleekr,binance-trading-bot,3800,https://github.com/chrisleekr/binance-trading-bot
orkestral,venom,3700,https://github.com/orkestral/venom
