username,repo_name,stars,repo_url
CyC2018,CS-Notes,149000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,65900,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,47500,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38400,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,36700,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,25400,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,24100,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,23600,https://github.com/huihut/interview
yuzu-emu,yuzu,19800,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,19000,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,17100,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,15800,https://github.com/ethereum/solidity
microsoft,vcpkg,15400,https://github.com/microsoft/vcpkg
catchorg,Catch2,14800,https://github.com/catchorg/Catch2
gabime,spdlog,14300,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13800,https://github.com/AnthonyCalandra/modern-cpp-features
doocs,leetcode,13600,https://github.com/doocs/leetcode
Qv2ray,Qv2ray,13400,https://github.com/Qv2ray/Qv2ray
ssloy,tinyrenderer,13500,https://github.com/ssloy/tinyrenderer
facebook,infer,13200,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12600,https://github.com/CoatiSoftware/Sourcetrail
google,tink,12300,https://github.com/google/tink
antlr,antlr4,11900,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,11200,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,10900,https://github.com/SFTtech/openage
compiler-explorer,compiler-explorer,10500,https://github.com/compiler-explorer/compiler-explorer
OpenRCT2,OpenRCT2,10400,https://github.com/OpenRCT2/OpenRCT2
polybar,polybar,10200,https://github.com/polybar/polybar
Ciphey,Ciphey,9700,https://github.com/Ciphey/Ciphey
