username,repo_name,stars,repo_url
Genymobile,scrcpy,63800,https://github.com/Genymobile/scrcpy
neovim,neovim,52300,https://github.com/neovim/neovim
git,git,41700,https://github.com/git/git
obsproject,obs-studio,37600,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,36700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,30000,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,29000,https://github.com/FFmpeg/FFmpeg
vim,vim,26800,https://github.com/vim/vim
curl,curl,24600,https://github.com/curl/curl
huihut,interview,23600,https://github.com/huihut/interview
ggreer,the_silver_searcher,23500,https://github.com/ggreer/the_silver_searcher
ruby,ruby,19000,https://github.com/ruby/ruby
mpv-player,mpv,18300,https://github.com/mpv-player/mpv
pbatard,rufus,18000,https://github.com/pbatard/rufus
ossrs,srs,17800,https://github.com/ossrs/srs
google,flatbuffers,17700,https://github.com/google/flatbuffers
oracle,graal,16800,https://github.com/oracle/graal
radareorg,radare2,16100,https://github.com/radareorg/radare2
microsoft,vcpkg,15400,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14800,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14600,https://github.com/allinurl/goaccess
kovidgoyal,kitty,14300,https://github.com/kovidgoyal/kitty
jarun,nnn,13800,https://github.com/jarun/nnn
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13200,https://github.com/facebook/infer
TheAlgorithms,C,13000,https://github.com/TheAlgorithms/C
CoatiSoftware,Sourcetrail,12600,https://github.com/CoatiSoftware/Sourcetrail
hashcat,hashcat,12300,https://github.com/hashcat/hashcat
qmk,qmk_firmware,12000,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11300,https://github.com/s-matyukevich/raspberry-pi-os
