username,repo_name,stars,repo_url
realm,SwiftLint,16000,https://github.com/realm/SwiftLint
facebook,infer,13200,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9800,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,7000,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6700,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6500,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,5800,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4900,https://github.com/reviewdog/reviewdog
detekt,detekt,4400,https://github.com/detekt/detekt
simplecov-ruby,simplecov,4400,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4000,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,3900,https://github.com/PyCQA/pylint
pmd,pmd,3800,https://github.com/pmd/pmd
phpro,grumphp,3700,https://github.com/phpro/grumphp
htmlhint,HTMLHint,2800,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2500,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2300,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1900,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1800,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1200,https://github.com/Tencent/feflow
urish,typewiz,1100,https://github.com/urish/typewiz
Tencent,CodeAnalysis,1100,https://github.com/Tencent/CodeAnalysis
jakzal,phpqa,1000,https://github.com/jakzal/phpqa
imgbot,Imgbot,884,https://github.com/imgbot/Imgbot
joshuaclayton,unused,875,https://github.com/joshuaclayton/unused
SonarSource,SonarJS,802,https://github.com/SonarSource/SonarJS
pdepend,pdepend,786,https://github.com/pdepend/pdepend
SonarSource,SonarTS,766,https://github.com/SonarSource/SonarTS
