username,repo_name,stars,repo_url
ovity,octotree,21900,https://github.com/ovity/octotree
gitpod-io,gitpod,7600,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,4900,https://github.com/reviewdog/reviewdog
danger,danger,4800,https://github.com/danger/danger
danger,danger-js,4300,https://github.com/danger/danger-js
joho,awesome-code-review,3400,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,1900,https://github.com/ajinabraham/nodejsscan
houndci,hound,1900,https://github.com/houndci/hound
microsoft,vscode-pull-request-github,1800,https://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1800,https://github.com/mbj/mutant
crev-dev,cargo-crev,1600,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1100,https://github.com/ryanmcdermott/code-review-tips
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
Tencent,CodeAnalysis,1100,https://github.com/Tencent/CodeAnalysis
code-review-checklists,java-concurrency,1000,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,834,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,775,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,638,https://github.com/enlightn/enlightn
palantir,policy-bot,470,https://github.com/palantir/policy-bot
bsamseth,cpp-project,459,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,436,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,434,https://github.com/mookid/diffr
mgreiler,code-review-checklist,412,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,348,https://github.com/JetBrains/Qodana
dpnishant,raptor,329,https://github.com/dpnishant/raptor
sjparkinson,static-review,325,https://github.com/sjparkinson/static-review
wandersoncferreira,code-review,303,https://github.com/wandersoncferreira/code-review
burrito-brothers,shiba,289,https://github.com/burrito-brothers/shiba
charignon,github-review,278,https://github.com/charignon/github-review
