username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,143000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,43500,https://github.com/junegunn/fzf
sharkdp,bat,33500,https://github.com/sharkdp/bat
wagoodman,dive,30900,https://github.com/wagoodman/dive
sherlock-project,sherlock,30700,https://github.com/sherlock-project/sherlock
google,zx,30400,https://github.com/google/zx
BurntSushi,ripgrep,30300,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,28600,https://github.com/chubin/cheat.sh
cli,cli,28000,https://github.com/cli/cli
jesseduffield,lazygit,26700,https://github.com/jesseduffield/lazygit
spf13,cobra,26000,https://github.com/spf13/cobra
angular,angular-cli,25300,https://github.com/angular/angular-cli
alebcay,awesome-shell,23300,https://github.com/alebcay/awesome-shell
google,python-fire,22200,https://github.com/google/python-fire
n8n-io,n8n,21900,https://github.com/n8n-io/n8n
tqdm,tqdm,21700,https://github.com/tqdm/tqdm
sharkdp,fd,21200,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,21200,https://github.com/ibraheemdev/modern-unix
vercel,pkg,20600,https://github.com/vercel/pkg
avajs,ava,19700,https://github.com/avajs/ava
chalk,chalk,18300,https://github.com/chalk/chalk
vadimdemedes,ink,18100,https://github.com/vadimdemedes/ink
urfave,cli,17700,https://github.com/urfave/cli
svg,svgo,17500,https://github.com/svg/svgo
gpakosz,.tmux,16300,https://github.com/gpakosz/.tmux
withfig,autocomplete,15300,https://github.com/withfig/autocomplete
allinurl,goaccess,14600,https://github.com/allinurl/goaccess
asdf-vm,asdf,14100,https://github.com/asdf-vm/asdf
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
jarun,nnn,13800,https://github.com/jarun/nnn
