username,repo_name,stars,repo_url
vercel,next.js,85100,https://github.com/vercel/next.js
rust-lang,rust,65500,https://github.com/rust-lang/rust
webpack,webpack,60800,https://github.com/webpack/webpack
sveltejs,svelte,57300,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52700,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,40900,https://github.com/JetBrains/kotlin
babel,babel,40700,https://github.com/babel/babel
parcel-bundler,parcel,40500,https://github.com/parcel-bundler/parcel
evanw,esbuild,31300,https://github.com/evanw/esbuild
vlang,v,28000,https://github.com/vlang/v
markedjs,marked,27300,https://github.com/markedjs/marked
swc-project,swc,21500,https://github.com/swc-project/swc
vercel,pkg,20600,https://github.com/vercel/pkg
v8,v8,19400,https://github.com/v8/v8
AssemblyScript,assemblyscript,13700,https://github.com/AssemblyScript/assemblyscript
ziglang,zig,13200,https://github.com/ziglang/zig
Konloch,bytecode-viewer,12900,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12700,https://github.com/nim-lang/Nim
gopherjs,gopherjs,11000,https://github.com/gopherjs/gopherjs
RustPython,RustPython,11000,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10500,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,8000,https://github.com/goplus/gop
apache,tvm,7900,https://github.com/apache/tvm
numba,numba,7400,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6800,https://github.com/elm/compiler
aalhour,awesome-compilers,6700,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6600,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6300,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5700,https://github.com/rescript-lang/rescript-compiler
