username,repo_name,stars,repo_url
localstack,localstack,39600,https://github.com/localstack/localstack
harness,drone,24800,https://github.com/harness/drone
jenkinsci,jenkins,18700,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12300,https://github.com/auchenberg/volkswagen
openshift,origin,8100,https://github.com/openshift/origin
theonedev,onedev,7300,https://github.com/theonedev/onedev
gocd,gocd,6400,https://github.com/gocd/gocd
concourse,concourse,6300,https://github.com/concourse/concourse
buildbot,buildbot,4800,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4600,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4100,https://github.com/jenkins-x/jx
ovh,cds,3800,https://github.com/ovh/cds
xcpretty,xcpretty,3700,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
cake-build,cake,3300,https://github.com/cake-build/cake
iterative,cml,3100,https://github.com/iterative/cml
werf,werf,3100,https://github.com/werf/werf
ligurio,awesome-ci,2900,https://github.com/ligurio/awesome-ci
JamesIves,github-pages-deploy-action,2800,https://github.com/JamesIves/github-pages-deploy-action
tox-dev,tox,2700,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2600,https://github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
dreamans,syncd,2100,https://github.com/dreamans/syncd
shivammathur,setup-php,2100,https://github.com/shivammathur/setup-php
houndci,hound,1900,https://github.com/houndci/hound
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
Flagsmith,flagsmith,1600,https://github.com/Flagsmith/flagsmith
lastbackend,lastbackend,1600,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1500,https://github.com/nuke-build/nuke
